天津市|00008
突发|00059
地质|00179
灾害|00199
事件|00013
提高|00002
应对|00004
能力|00007
避免|00003
或|00024
最大|00001
限度|00001
减轻|00001
造成|00013
的|00139
损失|00014
维护|00001
人民|00006
生命|00006
财产|00005
安全|00008
和|00120
社会|00011
稳定|00004
编制|00003
依据|00004
中华人民共和国|00001
法|00001
防治|00014
条例|00001
国家|00005
应急|00158
预案|00031
总体|00001
等|00054
法律|00002
法规|00002
规范性|00001
文件|00001
结合|00003
本市|00012
实际|00004
制定|00005
本|00012
工作|00082
原则|00005
预防|00008
为主|00002
以|00003
人|00015
为|00016
坚持|00001
至上|00002
把|00001
保障|00019
群众|00017
作为|00004
出发点|00001
落脚点|00001
建立|00007
健全|00002
群测群防|00001
机制|00001
最|00001
大|00011
程度|00007
减少|00001
统一|00001
指挥|00019
分工|00003
负责|00040
在|00020
市委|00007
领导|00005
下|00007
按照|00024
市|00113
人民政府|00016
部署|00015
要求|00006
有关|00019
部门|00042
蓟州区人民政府|00023
各司其职|00001
密切|00001
配合|00006
共同|00005
做|00006
好|00007
分级|00004
管理|00008
属地|00001
根据|00029
分布|00002
特点|00001
区|00011
两|00004
级|00028
体系|00005
事发区|00002
先期|00005
处置|00063
灾情|00049
响应|00047
适用|00002
范围|00006
是|00005
专项|00003
于|00001
行政区域|00001
内|00012
因|00014
自然|00002
因素|00004
或者|00007
人为|00002
活动|00003
引发|00008
危害|00006
山|00002
体|00002
崩塌|00004
滑坡|00004
泥石流|00004
地面|00004
塌陷|00004
与|00024
作用|00002
险情|00038
规模|00003
从|00002
高|00003
到|00008
低|00003
分为|00002
特别|00010
重大|00021
较|00012
个|00002
级别|00004
若|00001
中|00006
规定|00006
发生|00026
调整|00005
其|00001
受|00015
威胁|00017
需|00011
搬迁|00004
转移|00014
人数|00006
含|00012
以上|00018
潜在|00010
经济|00010
灾|00015
死亡|00006
直接|00005
元|00004
以下|00015
由|00027
地质灾害|00001
指挥部|00045
各|00006
成员|00014
单位|00030
配套|00001
市级|00006
方案|00006
蓟州区|00017
构成|00001
组织|00061
机构|00005
设立|00005
天津市突发地质灾害|00001
简称|00002
组成|00003
人员|00032
如下|00001
长|00003
分管|00004
副|00010
市长|00002
第一|00002
指挥长|00010
自然资源|00001
秘书长|00001
应急局|00013
规划|00024
资源局|00007
主要|00006
同志|00013
规划资源局|00002
卫生|00005
健康委|00005
市交通运输委|00002
市委宣传部|00003
市委网信办|00002
市公安局|00002
民政局|00002
水务局|00003
住房|00004
城乡建设委|00001
城市|00002
管理委|00002
市教委|00002
农业|00003
农村委|00003
发展改革委|00001
市财政局|00002
文化|00006
旅游局|00001
气象局|00002
通信管理局|00001
市粮食|00001
物资局|00002
商务局|00002
国网天津市电力公司|00003
武警天津总队|00005
消防|00005
救援|00042
总队|00005
市指挥部|00012
职责|00010
贯彻|00001
落实|00005
市政府|00004
关于|00002
指导|00021
开展|00037
对|00017
受灾|00012
地区|00001
进行|00012
紧急|00003
协调|00017
驻|00001
津|00001
武警|00001
部队|00001
参加|00003
抢险|00010
救灾|00020
办事|00001
下设|00001
天津市突发地质灾害应急指挥部|00001
办公室|00024
设|00001
主任|00003
局长|00002
担任|00002
处|00001
室|00001
联络员|00001
日常|00002
各项|00002
编修|00001
及|00008
修订|00003
相关|00016
承办|00001
交办|00001
其他|00004
事项|00001
局|00002
承担|00002
决定|00001
下达|00001
命令|00001
队伍|00015
调度|00007
统筹|00002
做好|00013
临时|00001
安置|00009
妥善|00003
安排|00005
生活|00005
统计|00001
以及|00015
款物|00001
分配|00001
发放|00002
监督|00002
行业|00002
生产|00005
经营|00001
事故|00001
防范|00008
隐患|00013
治理|00004
协助|00013
及其|00001
情况|00028
新闻|00008
发布|00018
市规划资源局|00008
调查|00014
核实|00005
时间|00003
地点|00003
影响|00003
诱发|00002
监测|00048
实时|00007
掌握|00001
动态|00004
及时|00022
分析|00005
预测|00002
发展|00011
趋势|00004
随时|00003
变化|00002
提出|00007
对策|00003
措施|00017
并|00012
报告|00016
群|00006
测|00004
群防|00005
网络|00003
建设|00003
完善|00003
培训|00003
市卫生|00001
受伤|00003
现场|00036
医疗|00008
救治|00008
转运|00001
